MJ文字図形名	対応するUCS(参考)	総画数	読み(参考)
MJ012079	U+6220	12	シ
MJ012081	U+6220	13	ショク・シキ・シ
MJ012083	U+6222	12	シュウ・おさめる
MJ012097	U+622E	15	リク・ころす
MJ012103	U+6233	18	タク
MJ012105	U+6234	18	タイ・テ・サイ・セ・いただく
MJ012111	U+623B	7	レイ・タイ・テイ・もどす・もどる・もどり
MJ012116	U+623F	8	ボウ・ホウ・ふさ
MJ012118	U+623F	8	ボウ・ふさ
MJ012119	U+6240	8	ショ・ソ・ところ
MJ012121	U+6241	9	ヘン・ヒン・ビン・ベン・ホン・ハン
MJ012129	U+6247	10	セン・おうぎ
MJ012131	U+6248	11	コ・ゴ・したがう
MJ012134	U+6249	12	ヒ・とびら
MJ012135	U+6249	12	ヒ・とびら
MJ012136	U+6249	12	ヒ・とびら
MJ012154	U+625A	6	テキ・シャク
MJ012158	U+625D	6	コ・ク・オ・ウ
MJ012162	U+6260	6	サ・さす・さて
MJ012170	U+6268	6	ジン・さて
MJ012172	U+6268	6	さて
MJ012175	U+626E	7	フン
MJ012179	U+6271	7	キュウ・コウ・ソウ・ギュウ・ゴウ・シュウ・ショウ・あつかう・あつかい
MJ012195	U+6280	7	ギ・わざ
MJ012199	U+6283	7	ベン・ヘン・ホン・うつ
MJ012202	U+6286	7	ブン・モン・ぬぐう・ふく
MJ012241	U+62B1	8	ホウ・ボウ・ブ・ビョウ・ギョク・フウ・ヒョウ・だく・いだく・かかえる
MJ012268	U+62CC	8	ハン
MJ012273	U+62D0	8	カイ・かたる
MJ012274	U+62D0	8	カイ・かたる
MJ012276	U+62D2	8	キョ・こばむ
MJ012303	U+62F3	10	ケン・ゲン・カン・こぶし
MJ012306	U+62F4	9	セン・えらぶ・つなぐ
MJ012310	U+62F7	9	ゴウ
MJ012316	U+62FC	11	ホウ・ヒョウ・ヘイ
MJ012329	U+6308	10	ケイ・ケツ・カツ・たずさえる・ひっさげる
MJ012330	U+6308	10	ケツ・ケイ・カツ・ケチ・セイ・ひっさげる・たずさえる
MJ012331	U+6308	10	ケツ・ひっさげる
MJ012351	U+6327	9	
MJ012371	U+633A	10	テイ・チョウ・ジョウ・トウ・ぬきんでる・ぬく
MJ012375	U+633C	10	キ・ズイ・ダ・ダイ・おさえる・おす
MJ012377	U+633D	11	バン・ベン・メン・マン・ひく
MJ012385	U+6344	9	キュウ・ク・もる
MJ012394	U+634B	10	ラチ・ラツ・レチ・レツ・とる・らち
MJ012398	U+634D	10	カン・ガン・ゲン・ふせぐ
MJ012402	U+63D1	12	デツ・ケチ・ネツ・こねる
MJ012403	U+6350	9	エン・すてる
MJ012407	U+6353	10	ヤ・ヨ
MJ012410	U+6354	10	カク・サク・うやうやしい・さす
MJ012414	U+6357	11	チョク・ホ・ブ・チキ・はかどる
MJ012424	U+6368	11	シャ・すてる
MJ012427	U+6369	11	レイ・ライ・レツ・レチ・ねじ・ねじる・もじる
MJ012433	U+636E	11	すえる・すわる・すえ
MJ012438	U+6372	12	ケン・ゲン・カン・まく・まき
MJ012455	U+6383	11	ソウ・はく
MJ012472	U+6392	11	ハイ
MJ012475	U+6395	11	リョウ・ロウ
MJ012488	U+63A1	11	サイ・とる
MJ012496	U+63A7	11	コウ・ひかえる
MJ012499	U+63A9	14	エン
MJ012514	U+63BE	12	エン・テン・じょう・よる
MJ012515	U+63BE	12	エン・じょう
MJ012522	U+63C3	12	セン・そろい・そろう・そろえる・きる
MJ012524	U+63C4	12	ユ
MJ012526	U+63C5	15	ゲン・ケン・みがく
MJ012527	U+63C5	15	ケン・ゲン
MJ012538	U+63CF	12	ビョウ・ミョウ・ボウ・えがく
MJ012546	U+63D6	12	ユウ
MJ012555	U+63DE	12	アン・オン・カン・コン・ヨウ
MJ012558	U+63E0	12	アツ・エチ・ぬく
MJ012564	U+63E5	12	テイ・テキ
MJ012580	U+63F3	12	ケチ・ケツ・セチ・セツ・カツ
MJ012581	U+63F4	12	エン・オン・カン・ガン・たすける
MJ012584	U+63F5	12	ケン・ゲン・ゴン
MJ012592	U+6406	13	コウ・ク・かまえる
MJ012599	U+640D	12	ソン・そこなう・そこねる
MJ012603	U+640F	13	ハク・うつ・とる
MJ012607	U+6412	13	ホウ
MJ012618	U+641C	13	ソウ・シュウ・シュ・ショウ・オウ・オ・さがす
MJ012625	U+6422	13	シン・はさむ
MJ012627	U+6424	13	アク・ヤク・エツ・エチ・エイ・アイ・ア
MJ012629	U+6425	12	タイ・ツイ・うつ
MJ012632	U+6426	13	ジャク・ダク・からめる
MJ012634	U+6428	13	トウ・する
MJ012636	U+6428	13	トウ・する
MJ012637	U+6429	13	ケツ・ゲチ・タク・チャク
MJ012643	U+642D	13	トウ・のる
MJ012661	U+643D	13	チャ
MJ012667	U+6442	13	セツ
MJ012672	U+644E	14	キュウ・コウ
MJ012676	U+6452	12	ヘイ・ヒョウ
MJ012678	U+6453	13	ホウ・フウ
MJ012682	U+6455	14	テイ・とる
MJ012686	U+6458	14	テキ・つむ
MJ012687	U+6459	13	レン・になう
MJ012696	U+6460	14	ソウ・ス・ふさ
MJ012697	U+6460	14	ソウ・ス
MJ012698	U+6461	14	カイ・キ・ケ・そそぐ
MJ012705	U+6466	14	カ・ゲ
MJ012708	U+6469	15	マ・バ・ビ・ミ・する
MJ012714	U+646D	14	セキ・シャク・ひろう
MJ012721	U+6473	14	コウ・ク・オウ・オ・あげる・うつ・さぐる・つまどる・なげる・ひきかける・わせ・かかげる
MJ012726	U+6477	17	ソウ
MJ012728	U+6478	14	モ・ボ・バク・マク・さぐる・もつ
MJ012729	U+6479	15	ボ・モ・うつす・かた・ならう・のっとる・のり
MJ012733	U+647A	14	ショウ・ロウ・すり・する
MJ012754	U+6490	15	トウ・チョウ・ひかえばしら
MJ012756	U+6490	16	ギョウ・チョウ・トウ・ひかえばしら
MJ012767	U+649B	15	リン
MJ012772	U+649E	15	シュ・トウ・ドウ・つく
MJ012777	U+64A2	15	タン・トン・イン・ジン・ドン・さぐる
MJ012792	U+64B0	15	セン・サン・ザン・えらぶ
MJ012798	U+64B9	15	カク・コウ
MJ012799	U+64BB	15	タツ・むちうつ
MJ012803	U+64BE	15	タ・カ・うつ・たたく
MJ012811	U+64C4	16	ロ・える・かすめる・したがえる
MJ012822	U+64CE	17	ギョウ・ケイ・ささげる・たかい・もつ
MJ012827	U+64D2	16	ゴン・キン・とらえる・とりこ
MJ012836	U+64DA	16	キョ・コ・ゴ・ケキ・キャク・よる
MJ012837	U+64DA	16	キョ・コ・ゴ・ケキ・キャク・よる
MJ012843	U+64E2	17	テキ・タク・ジョク・ぬきんでる・あげる・ぬく
MJ012846	U+64E4	17	コウ・キョウ
MJ012853	U+64EA	18	ヨウ・チョウ・ジョウ・オウ・エン・おさえる
MJ012854	U+64EA	17	ヨウ・エン・オウ・ユウ・アン・おさえ
MJ012858	U+64ED	17	ワク・コ・カク・カ・コク・ゴ・ゲ・ゴク
MJ012861	U+64EF	18	ヒン・しりぞける
MJ012865	U+64F2	18	テキ・なげうつ
MJ012866	U+64F2	18	テキ・なげうつ
MJ012867	U+64F2	18	テキ・なげうつ
MJ012870	U+64F4	17	カク・コウ・オウ・ひろげる
MJ012875	U+64F6	18	セン
MJ012886	U+64FF	17	テキ・チャク・あばく・かかげる・さぐる・かく・なげうつ
MJ012888	U+64FF	18	テキ・タク・あばく・かかげる・さぐる・なげうつ
MJ012897	U+6507	19	ケン・コン
MJ012906	U+650F	19	ロウ・ル・かすめる
MJ012910	U+6514	19	ラン・さえぎる・しきり・てすり
MJ012918	U+651D	21	セツ・ショウ・ジョウ・ニョウ・キョウ・ソウ・とる・かねる・かわる・おさめる
MJ012920	U+651D	21	セツ・ショウ・ジョウ・ニョウ・キョウ・ソウ・とる・かねる・かわる・おさめる
MJ012921	U+651D	21	セツ・ショウ・ジョウ・ニョウ・キョウ・ソウ・とる・かねる・かわる・おさめる
MJ012929	U+6524	21	タン・ひらく
MJ012937	U+652C	23	ラン
MJ012941	U+652F	4	シ・ささえる
MJ012948	U+6535	4	ブン・モン・ふみ
MJ012952	U+6538	6	ユウ・ユ・ところ
MJ012961	U+653F	8	セイ・ショウ・まつりごと
MJ012990	U+655D	12	ヘイ・やぶれる
MJ012991	U+655D	12	ヘイ・やぶれる
MJ012993	U+655E	12	ショウ・ヘイ・トウ・チョウ・ジョウ・たかい・ほがらか・やぶれる
MJ013007	U+656C	13	ケイ・キョウ・うやまう
MJ013016	U+6572	14	コウ・たたく
MJ013019	U+6575	15	テキ・かたき
MJ013021	U+6577	15	フ・しく
MJ013024	U+6578	15	シュ・サク・ス・ソク・ショ・ショク・ソ・シュク・かぞえる
MJ013027	U+657A	15	ク・オウ
MJ013032	U+6581	17	エキ・ト
MJ013035	U+6583	18	ヘイ・たおれる
MJ013036	U+6583	18	ヘイ
MJ013041	U+6587	4	ブン・モン・ふみ
MJ013043	U+6588	7	ガク・まなぶ
MJ013049	U+658E	11	サイ・シ・とき・いつき・いつく・いわい・いわう
MJ013052	U+6590	12	ヒ・あや
MJ013053	U+6590	12	ヒ
MJ013064	U+659C	11	シャ・ジャ・ヤ・タ・ダ・ななめ
MJ013069	U+659F	13	シン・くむ
MJ013077	U+65A7	8	フ・おの
MJ013089	U+65B2	14	タク・トク・きる
MJ013091	U+65B4	16	リン
MJ013093	U+65B5	17	タク・きる
MJ013097	U+65B7	18	ダン・たつ
MJ013110	U+65C5	10	リョ・ロ・たび
MJ013116	U+65C9	11	フ・しく
MJ013131	U+65D8	16	シ
MJ013137	U+65DD	19	カイ・ケ
MJ013139	U+65DE	19	ズイ・スイ・はた
MJ013140	U+65DE	19	ズイ・スイ・はた
MJ013144	U+65E1	5	キ・ケ・すでのつくり
MJ013145	U+65E1	5	キ・すでのつくり
MJ013147	U+65E2	11	キ・すでに
MJ013149	U+65E3	12	キ・すでに
MJ013152	U+65E5	4	ニチ・ジツ・ひ・か
MJ013166	U+65F3	7	チャク・テキ・まと
MJ013174	U+65FB	8	ビン・ミン・あきぞら
MJ013182	U+6600	8	イン
MJ013185	U+6602	8	コウ・ゴウ・ギョウ
MJ013192	U+6608	8	コ・ゴ・あき
MJ013193	U+6608	8	コ・ゴ
MJ013196	U+660B	8	キョウ・ケイ・ケ
MJ013202	U+660E	8	メイ・ミョウ・あかり・あかるい・あかるむ・あからむ・あきらか・あける・あく・あくる・あかす
MJ013220	U+661E	9	ヘイ・ヒョウ・ホウ
MJ013221	U+661E	9	ヘイ
MJ013229	U+6624	9	レイ・リョウ
MJ013248	U+6636	9	チョウ
MJ013254	U+663C	9	チュウ・ひる
MJ013266	U+6648	10	キョウ
MJ013267	U+6648	10	コウ・キョウ・しろい・しろし・きよし
MJ013281	U+6659	11	シュン
MJ013289	U+665F	11	セイ・ジョウ
MJ013296	U+6666	10	カイ・くらい・みそか
MJ013299	U+6667	11	コウ・ゴウ・カイ・ケ・しろい・ひかる
MJ013316	U+6677	12	キ・ひかげ
MJ013318	U+6677	12	キ・ひかげ
MJ013327	U+6680	12	オウ・キョウ・ゴウ・さかん
MJ013330	U+6681	13	キョウ・ギョウ・あかつき・さとる
MJ013342	U+668E	13	エイ・うつる
MJ013343	U+668E	13	エイ・うつる
MJ013345	U+6690	13	イ
MJ013354	U+6696	13	ダン・ナン・ケン・カン・ノン・ノウ・あたたか・あたたかい・あたたまる・あたためる
MJ013357	U+6697	13	アン・くらい
MJ013364	U+669C	14	テイ
MJ013369	U+66A0	14	コウ・しろい
MJ013384	U+66AE	15	ボ・モ・くれる・くらす
MJ013388	U+66B1	15	ジツ・ちかづく
MJ013389	U+66B1	15	ジツ・ちかづく
MJ013391	U+66B3	15	ケイ・ケ
MJ013400	U+66B9	15	セン
MJ013406	U+66BC	16	ヘツ
MJ013412	U+66C1	16	キ・およぶ
MJ013413	U+66C1	17	キ・およぶ
MJ013414	U+66C1	17	キ・およぶ
MJ013417	U+66C3	15	タイ
MJ013420	U+66C4	16	ヨウ・ユウ・オウ・かがやく
MJ013421	U+66C5	16	ヨウ
MJ013433	U+66CF	16	キョウ・コウ・ショウ・あきらか・さき・さきに・さきには
MJ013443	U+66D6	17	アイ・くらい・くらし
MJ013448	U+66D9	18	ショ・あけぼの
MJ013450	U+66DA	18	モウ・ボウ・モ・くらい
MJ013451	U+66DA	17	モウ・くらい
MJ013453	U+66DC	18	ヨウ・かがやく
MJ013460	U+66E0	18	コウ・あきらか・むなしい
MJ013470	U+66E8	20	ロウ・ル・おぼろ
MJ013483	U+66F4	7	コウ・キョウ・さら・ふける・ふかす・あらためる・かえる・かわる
MJ013485	U+66F5	7	エイ・ひく
MJ013486	U+66F5	7	エイ・ひく
MJ013489	U+66F7	8	カツ・アツ・アチ・なに・いずくんぞ・なんぞ
MJ013491	U+66F8	10	ショ・チュウ・かく・ひる
MJ013495	U+66FB	10	のぼる
MJ013497	U+66FB	11	ショウ・のぼる
MJ013499	U+66FC	11	マン・バン・ながい
MJ013502	U+66FE	12	ソ・ソウ・ゾ・かつて・すなわち
MJ013503	U+66FE	12	ソ・ソウ・ゾ・かつて・すなわち
MJ013505	U+6700	12	サイ・もっとも
MJ013507	U+6701	12	サン・セン・ゼン・ソン
MJ013511	U+3479	12	カイ・エ・あう
MJ013512	U+6703	13	エ・カイ・カチ・カツ・あう・あつまる
MJ013519	U+6708	4	ゲツ・ガツ・つき
MJ013522	U+6709	6	ユウ・ウ・ある・もつ・たもつ
MJ013524	U+670B	8	ホウ・ボウ・とも
MJ013527	U+670D	8	フク・ブク・ハク・フウ・ブ・ホク・ボク・したがう
MJ013530	U+670E	9	リョウ・レイ
MJ013535	U+6713	10	チョウ・ヨウ
MJ013537	U+6714	10	サク・ついたち
MJ013539	U+6715	10	チン・ジン・われ
MJ013543	U+6717	11	ロウ・ほがらか
MJ013546	U+6719	12	ミン・ベイ・ボウ・メイ・ミョウ・あかるい・あきらか
MJ013548	U+671A	11	コウ・ボウ・モウ
MJ013549	U+671B	11	ボウ・モウ・のぞむ
MJ013551	U+671B	11	ボウ・モウ・のぞむ
MJ013552	U+671B	11	ボウ・モウ・のぞむ
MJ013553	U+671B	11	ボウ・モウ・のぞむ
MJ013554	U+671B	11	ボウ・モウ・のぞむ
MJ013557	U+671D	12	チョウ・ジョウ・チュ・あさ
MJ013560	U+671E	12	キ
MJ013561	U+671E	12	キ
MJ013563	U+671F	12	キ・ゴ
MJ013565	U+6720	13	エイ・ヨウ
MJ013567	U+6721	13	ソウ
MJ013569	U+6722	14	ボウ・モウ・のぞむ
MJ013573	U+6726	18	モウ・ボウ・モ・おぼろ
MJ013574	U+6726	17	モウ・おぼろ
MJ013582	U+67A9	7	
MJ013605	U+6748	7	サ・あじか・えだ・やらい
MJ013616	U+6753	7	シャク・チャク・ジャク・ヒョウ・テキ・チョウ・ひしゃく
MJ013620	U+6756	7	ジョウ・チョウ・つえ・うつ
MJ013621	U+6756	8	チョウ・ジョウ・つえ
MJ013624	U+6757	7	ボウ・モウ
MJ013632	U+675E	7	キ・コ・シ・ジ・カイ・ガイ
MJ013668	U+677E	8	ショウ・まつ
MJ013671	U+6781	7	ソウ・キョウ・ギョウ
MJ013678	U+6785	10	ケイ・ケン・けた
MJ013679	U+6785	10	ケイ
MJ013688	U+678C	8	フン・そぎ
MJ013694	U+6792	8	ヤ・ガ・ゲ
MJ013713	U+67A6	8	ロ・はぜ
MJ013715	U+67A9	8	ショウ・まつ
MJ013731	U+67B9	9	フ・ばち
MJ013743	U+67C4	9	ヘイ・ヒョウ・がら・え・つか
MJ013750	U+67CA	9	シュウ・シュ・ひいらぎ
MJ013762	U+67D4	9	ジュウ・ニュウ・やわらか・やわらかい
MJ013771	U+67DC	9	キョ・コ・ク・ひつ
MJ013783	U+67E7	9	コ・ク・カ・ケ
MJ013795	U+67F1	9	チュウ・はしら
MJ013798	U+67F3	9	リュウ・ル・やなぎ
MJ013807	U+67FA	9	カイ・カ
MJ013816	U+6801	9	リュウ
MJ013819	U+6803	9	とち
MJ013826	U+6813	10	セン・サン
MJ013829	U+6814	10	ケイ・ケツ・ケチ・きざむ
MJ013833	U+6816	10	サイ・セイ・リツ・リチ・レツ・レチ
MJ013841	U+681D	10	テン
MJ013844	U+681F	12	ヘイ・ヘン・ヒン・ビン・ヒョウ
MJ013847	U+6821	10	コウ・くらべる
MJ013851	U+6825	10	シ
MJ013857	U+6829	10	ク・チョ・ウ・くぬぎ
MJ013867	U+6832	10	コウ・たえ
MJ013870	U+6834	10	セン
MJ013875	U+6838	10	カク・さね
MJ013883	U+6840	10	ケツ・ゲチ・ケチ
MJ013885	U+6840	11	ケツ
MJ013891	U+6845	10	ほばしら
MJ013905	U+6852	9	ソウ・くわ
MJ013906	U+6852	9	ソウ・くわ
MJ013907	U+6852	10	ソウ・くわ
MJ013918	U+685D	10	ます
MJ013920	U+685D	11	ます
MJ013938	U+6874	11	フ・いかだ・ばち
MJ013940	U+6875	11	ズイ・ニ
MJ013958	U+6883	11	チョウ・テイ・つえ
MJ013963	U+6886	11	ホウ
MJ013974	U+688F	11	コク・てかせ
MJ013983	U+6897	11	コウ・キョウ
MJ013988	U+689B	11	ダ・ナ・なぎ
MJ013994	U+689F	11	キョウ・ふくろう
MJ013997	U+68A2	11	ショウ・ソウ・サク・こずえ
MJ014002	U+68A5	11	ショウ
MJ014012	U+68AD	11	サ・ジュン・シュン・セン・ひ
MJ014022	U+68B5	11	ボン・フウ・ブ・ハン
MJ014033	U+68C4	12	キ・すてる
MJ014038	U+68C8	12	セン・セイ・ショウ
MJ014047	U+68CF	12	トク・タク
MJ014059	U+68DA	12	ホウ・ビョウ・ボウ・たな
MJ014095	U+68FB	12	フン
MJ014110	U+6907	12	キョ・ク・コ
MJ014117	U+690C	12	コウ・キョウ・ク
MJ014127	U+6914	13	シ
MJ014136	U+691B	12	かば・もみじ
MJ014137	U+691B	11	かば
MJ014144	U+6926	12	
MJ014150	U+6930	13	ヤ・やし
MJ014161	U+6939	13	チン・シン・ジン・あてぎ・くわのみ・さわら
MJ014166	U+693D	13	テン・デン・たるき
MJ014167	U+693D	13	テン・たるき
MJ014176	U+6946	13	ヨウ
MJ014181	U+6949	13	ジャク・ニャク
MJ014192	U+6954	13	セツ・セチ・ケツ・ケチ・カツ・カチ・くさび
MJ014194	U+6954	13	セツ・くさび
MJ014196	U+6956	13	シツ・シチ
MJ014199	U+6957	13	ケン・かんぬき
MJ014204	U+695B	13	コ・ゴ
MJ014207	U+695E	13	リョウ・ロウ
MJ014213	U+6962	13	ユウ・シュ・ユ・シュウ・ショウ・なら
MJ014215	U+6962	13	なら
MJ014225	U+696B	13	シュウ・ショウ・かじ
MJ014228	U+696E	12	チョ・ト・こうぞ
MJ014230	U+696F	13	ジュン・シュン・チュン・たて・てすり
MJ014251	U+6982	14	ガイ
MJ014255	U+698A	13	さかき
MJ014263	U+6991	14	フ・ブ・ハク・くれ
MJ014265	U+6992	14	ダク
MJ014268	U+6994	14	ロウ
MJ014274	U+6998	14	ク・じょうぎ
MJ014278	U+699C	14	ボウ・ホウ・たてふだ・かじ・ふだ・むち
MJ014285	U+69A3	14	ヨウ
MJ014291	U+69A7	14	かや
MJ014312	U+69BA	14	ショウ・たていとまき
MJ014313	U+69BA	14	ショウ
MJ014317	U+69BB	14	トウ・こしかけ・しじ
MJ014318	U+69BB	14	トウ・こしかけ・しじ
MJ014326	U+69C1	15	コウ・キョウ・かれる・はし
MJ014334	U+69C7	14	テン・シン・デン・まき
MJ014338	U+69CB	14	コウ・ク・カク・かまえる・かまう
MJ014340	U+69CC	13	ツイ・ズイ・タイ・テ・つち
MJ014344	U+69CF	14	レン・ケン・ゲン・カン
MJ014345	U+69CF	14	かね
MJ014357	U+69C7	14	テン・シン・こずえ・まき
MJ014362	U+69E2	15	シフ・くさび
MJ014364	U+69E4	14	レン
MJ014370	U+69E9	15	ガイ・おおむね
MJ014371	U+69E9	15	ガイ・カイ・とかき・おおむね・おもむき
MJ014373	U+69EA	15	ガイ・キ・ケ・カイ・ケツ・ゲチ・コツ・クチ・おおむね
MJ014374	U+69EA	15	ガイ
MJ014377	U+69EB	13	タン・まるい
MJ014385	U+69F1	15	ユウ・ウ・やく
MJ014398	U+69FE	15	マン・バン・こて
MJ014401	U+69FF	14	キン・むくげ
MJ014402	U+69FF	15	キン・むくげ
MJ014416	U+6A0B	14	トウ・ツ・ひ・とい
MJ014427	U+6A14	15	ソウ
MJ014435	U+6A1B	15	キュウ・つが
MJ014439	U+6A1E	15	シュ・チョ・オウ・オ・スウ
MJ014441	U+6A1F	15	ショウ・ソウ・くす・くすのき
MJ014444	U+6A21	15	モ・ボ・かた
MJ014447	U+6A23	15	ヨウ・さま
MJ014456	U+6A2A	15	オウ・よこ
MJ014467	U+6A34	16	ショク・シキ・トク・ドク・ヨク・イキ・くい
MJ014470	U+6A36	16	サイ
MJ014475	U+6A39	16	ジュ
MJ014477	U+6A3A	16	カ・ゲ・かば
MJ014481	U+6A3D	16	ソン・たる
MJ014489	U+6A44	16	カン
MJ014495	U+6A49	17	リン
MJ014511	U+6A59	16	トウ・チョウ・ジョウ・だいだい・ゆず
MJ014517	U+6A5D	16	タン・ドン・チン・テン・ジン
MJ014521	U+6A5F	16	キ・はた
MJ014524	U+6A61	16	とち・くぬぎ
MJ014530	U+6A66	16	トウ・ドウ・ショウ・ゾウ・ズ・シュ
MJ014532	U+6A67	15	ソウ・ショウ・ゾウ
MJ014546	U+6A73	16	ぬで
MJ014547	U+6A73	16	ぬで
MJ014555	U+6A80	17	ダン・タン・まゆみ
MJ014565	U+6A89	17	テイ
MJ014570	U+6A8D	17	ヨク・オク・イキ・イ
MJ014574	U+6A90	17	エン・ひさし
MJ014581	U+6A96	16	スイ・やまなし
MJ014587	U+6A9B	16	タ・サ・むち
MJ014589	U+6A9C	16	カイ・ひのき
MJ014591	U+6A9C	16	カイ・ひのき
MJ014592	U+6A9C	17	カイ・ケ・カツ・カチ・ひのき・ひ・はた
MJ014597	U+6AA0	17	ケイ・ギョウ・キョウ・ゆだめ
MJ014605	U+6AA8	17	シャ
MJ014609	U+6AAC	18	ボウ・モウ・モ
MJ014610	U+6AAC	17	ボウ
MJ014611	U+6AAC	17	ボウ
MJ014619	U+6AB3	19	ビン・ヒン
MJ014620	U+6AB3	19	ビン・ヒン
MJ014622	U+6AB4	18	カク・ワク・カ・ゲ
MJ014627	U+6AB8	18	ドウ・ネイ
MJ014639	U+6AC2	18	トウ・かじ
MJ014652	U+6ACE	18	コウ・オウ・カク・たな・とばり・びょうぶ・ひさし
MJ014659	U+6AD4	19	レイ・とち
MJ014660	U+6AD4	18	レイ
MJ014669	U+6ADB	17	シツ・シチ・くし・くしけずる
MJ014670	U+6ADB	19	シツ・シチ・くし・くしけずる
MJ014672	U+6ADB	18	シツ・くし
MJ014674	U+6ADC	19	コウ・ゆみぶくろ
MJ014676	U+6ADD	19	トク・ドク・はこ・ひつ・ひつぎ・ぜん
MJ014678	U+6ADE	19	エン
MJ014679	U+6ADE	19	エン
MJ014680	U+6ADE	19	エン
MJ014687	U+6AE4	19	たも
MJ014702	U+6AF3	20	ロウ・ル・おり
MJ014714	U+6B02	21	ハク・バク・ヘキ・ビャク・ますがた
MJ014719	U+6B07	22	ショウ・ジョウ・セツ・とる
MJ014724	U+6B0A	22	ケン・ゲン・カン・おもり
MJ014735	U+6B17	25	ラン
MJ014743	U+6B1D	26	ウツ・しげる・むすぼれる
MJ014746	U+6B1F	29	つき・かたくみ
MJ014748	U+6B21	6	ジ・シ・つぐ・つぎ
MJ014761	U+6B2C	10	ガイ・カイ・キ・アイ・しわぶき・せき
MJ014788	U+6B46	13	キン・コン・うける・むさぼる
MJ014789	U+6B47	12	ケツ・やめる・やむ
MJ014793	U+6B49	14	ケン・あきたりない
MJ014798	U+6B4E	14	タン・なげく・なげき
MJ014802	U+6B50	15	オウ・オ・はく
MJ014806	U+6B54	15	キョ・すすりなく
MJ014809	U+6B55	17	ホン
MJ014814	U+6B59	16	キュウ・キョウ・すう
MJ014822	U+6B61	22	カン・よろこぶ
MJ014824	U+6B62	4	シ・とめる
MJ014839	U+6B70	14	シュウ・ソウ・しぶい
MJ014842	U+6B72	13	サイ・セイ
MJ014843	U+6B72	14	サイ・セイ・セツ・セチ・とし・よわい
MJ014850	U+6B78	18	キ・ギ・かえる
MJ014870	U+6B8D	11	ヒョウ・フ・うえじに
MJ014894	U+6BA9	16	サン
MJ014902	U+6BAF	19	ヒン・かりもがり
MJ014903	U+6BAF	19	ヒン・かりもがり
MJ014905	U+6BB0	19	トク・ドク
MJ014909	U+6BB3	4	ボツ・シュ・ほこ
MJ014918	U+6BBB	11	カク・から
MJ014920	U+6BBC	12	カク・コク・キャク・から
MJ014930	U+6BC6	15	オウ・オ・コウ・ク・うつ
MJ014945	U+6BD3	13	イク・そだてる
MJ014978	U+6BFA	13	ユ
MJ014989	U+6C03	16	トウ・ズ
MJ014994	U+6C08	17	セン
MJ014995	U+6C08	17	セン
MJ015003	U+6C0E	25	チョウ・ジョウ
MJ015009	U+6C13	8	ボウ・ミョウ・たみ
MJ015010	U+6C13	9	ボウ・たみ
MJ015016	U+6C1B	8	フン
MJ015060	U+6C4D	6	カン・ガン
MJ015062	U+6C4E	6	ガン
MJ015067	U+6C52	6	ボウ・モウ
MJ015077	U+6C5B	6	ジン・シン・サイ・セン・セ
MJ015090	U+6C67	7	ケン
MJ015099	U+6C6D	7	ゼイ
MJ015100	U+6C6D	7	ゼイ
MJ015105	U+6C72	6	キュウ・くむ・くみ
MJ015108	U+6C74	7	ベン・ヘン・ハン・ホン
MJ015112	U+6C76	7	ブン・ボン・けがれ・はずかしめ
MJ015121	U+6C7E	7	フン
MJ015147	U+6C97	8	ホウ・テン・かたじけない
MJ015149	U+6C97	9	テン
MJ015158	U+6CA0	7	リュウ
MJ015161	U+6CA1	7	ボツ・バイ・バ・モツ・しずむ
MJ015164	U+6CAA	7	ロ
MJ015178	U+6CB7	7	ハツ・さらう
MJ015187	U+6CBF	8	エン・そう
MJ015188	U+6CBF	8	エン・そう
MJ015208	U+6CD2	8	コ・ク
MJ015210	U+6CD2	8	コ・ク
MJ015218	U+6CD9	8	ホウ・ヘイ・ビョウ・ヒョウ
MJ015226	U+6CE1	8	ホウ・ヒョウ・ビョウ・あわ
MJ015233	U+6CE7	8	エツ・オチ・ケツ・カチ・カツ・サツ・サチ
MJ015236	U+6CE8	8	チュウ・そそぐ
MJ015244	U+6CF0	9	タイ・おおきい・やすい
MJ015251	U+6CFB	8	かた
MJ015307	U+6D2F	10	ケツ・ケチ
MJ015312	U+6D34	9	ヘイ
MJ015324	U+6D3E	9	ハ・ハイ・ヘ・バク・ミャク・わかれる
MJ015329	U+6D41	9	リュウ・ル・ながれる・ながす・ながれ
MJ015355	U+6D69	10	コウ・ゴウ・ひろい
MJ015361	U+6D6E	10	フ・ホウ・ブ・うく・うかれる・うかぶ・うかべる
MJ015372	U+6D78	10	シン・ひたす・ひたる
MJ015390	U+6D88	10	ショウ・きえる・けす
MJ015398	U+6D8E	11	エン・セン・よだれ
MJ015416	U+6DAC	11	ケイ・ギョウ
MJ015426	U+6DB5	11	カン・ひたす
MJ015437	U+23D60	10	タク
MJ015438	U+6DBF	11	タク
MJ015443	U+6DC3	12	コウ・ケン・みなと
MJ015444	U+6DC3	12	
MJ015452	U+6DCA	11	アン・エン・カン・ゴン
MJ015455	U+6DCC	11	ショウ
MJ015460	U+6DCF	11	コウ・ゴウ
MJ015478	U+6DDE	11	ショウ
MJ015489	U+6DE8	11	セイ・ソウ・シン・ジョウ・きよい
MJ015493	U+6DEB	11	イン・エン・ヨウ・みだら・ひたす・ほしいまま
MJ015512	U+6DFB	11	テン・そえる・そう
MJ015542	U+6E1D	12	ユ・かわる
