MJ文字図形名	対応UCS	読み
MJ014735	U+6B17	ラン
MJ014743	U+6B1D	ウツ・しげる・むすぼれる
MJ014746	U+6B1F	つき・かたくみ
MJ014748	U+6B21	ジ・シ・つぐ・つぎ
MJ014761	U+6B2C	ガイ・カイ・キ・アイ・しわぶき・せき
MJ014788	U+6B46	キン・コン・うける・むさぼる
MJ014789	U+6B47	ケツ・やめる・やむ
MJ014793	U+6B49	ケン・あきたりない
MJ014798	U+6B4E	タン・なげく・なげき
MJ014802	U+6B50	オウ・オ・はく
MJ014806	U+6B54	キョ・すすりなく
MJ014809	U+6B55	ホン
MJ014814	U+6B59	キュウ・キョウ・すう
MJ014822	U+6B61	カン・よろこぶ
MJ014824	U+6B62	シ・とめる
MJ014839	U+6B70	シュウ・ソウ・しぶい
MJ014842	U+6B72	サイ・セイ
MJ014843	U+6B72	サイ・セイ・セツ・セチ・とし・よわい
MJ014850	U+6B78	キ・ギ・かえる
MJ014870	U+6B8D	ヒョウ・フ・うえじに
MJ014894	U+6BA9	サン
MJ014902	U+6BAF	ヒン・かりもがり
MJ014903	U+6BAF	ヒン・かりもがり
MJ014905	U+6BB0	トク・ドク
MJ014909	U+6BB3	ボツ・シュ・ほこ
MJ014918	U+6BBB	カク・から
MJ014920	U+6BBC	カク・コク・キャク・から
MJ014930	U+6BC6	オウ・オ・コウ・ク・うつ
MJ014945	U+6BD3	イク・そだてる
MJ014978	U+6BFA	ユ
MJ014989	U+6C03	トウ・ズ
MJ014994	U+6C08	セン
MJ014995	U+6C08	セン
MJ015003	U+6C0E	チョウ・ジョウ
MJ015009	U+6C13	ボウ・ミョウ・たみ
MJ015010	U+6C13	ボウ・たみ
MJ015016	U+6C1B	フン
MJ015060	U+6C4D	カン・ガン
MJ015062	U+6C4E	ガン
MJ015067	U+6C52	ボウ・モウ
MJ015077	U+6C5B	ジン・シン・サイ・セン・セ
MJ015090	U+6C67	ケン
MJ015099	U+6C6D	ゼイ
MJ015100	U+6C6D	ゼイ
MJ015105	U+6C72	キュウ・くむ・くみ
MJ015108	U+6C74	ベン・ヘン・ハン・ホン
MJ015112	U+6C76	ブン・ボン・けがれ・はずかしめ
MJ015121	U+6C7E	フン
MJ015147	U+6C97	ホウ・テン・かたじけない
MJ015149	U+6C97	テン
MJ015158	U+6CA0	リュウ
MJ015161	U+6CA1	ボツ・バイ・バ・モツ・しずむ
MJ015164	U+6CAA	ロ
MJ015178	U+6CB7	ハツ・さらう
MJ015187	U+6CBF	エン・そう
MJ015188	U+6CBF	エン・そう
MJ015208	U+6CD2	コ・ク
MJ015210	U+6CD2	コ・ク
MJ015218	U+6CD9	ホウ・ヘイ・ビョウ・ヒョウ
MJ015226	U+6CE1	ホウ・ヒョウ・ビョウ・あわ
MJ015233	U+6CE7	エツ・オチ・ケツ・カチ・カツ・サツ・サチ
MJ015236	U+6CE8	チュウ・そそぐ
MJ015244	U+6CF0	タイ・おおきい・やすい
MJ015251	U+6CFB	かた
MJ015307	U+6D2F	ケツ・ケチ
MJ015312	U+6D34	ヘイ
MJ015324	U+6D3E	ハ・ハイ・ヘ・バク・ミャク・わかれる
MJ015329	U+6D41	リュウ・ル・ながれる・ながす・ながれ
MJ015355	U+6D69	コウ・ゴウ・ひろい
MJ015361	U+6D6E	フ・ホウ・ブ・うく・うかれる・うかぶ・うかべる
MJ015372	U+6D78	シン・ひたす・ひたる
MJ015390	U+6D88	ショウ・きえる・けす
MJ015398	U+6D8E	エン・セン・よだれ
MJ015416	U+6DAC	ケイ・ギョウ
MJ015426	U+6DB5	カン・ひたす
MJ015437	U+23D60	タク
MJ015438	U+6DBF	タク
MJ015443	U+6DC3	コウ・ケン・みなと
MJ015444	U+6DC3	
MJ015452	U+6DCA	アン・エン・カン・ゴン
MJ015455	U+6DCC	ショウ
MJ015460	U+6DCF	コウ・ゴウ
MJ015478	U+6DDE	ショウ
MJ015489	U+6DE8	セイ・ソウ・シン・ジョウ・きよい
MJ015493	U+6DEB	イン・エン・ヨウ・みだら・ひたす・ほしいまま
MJ015512	U+6DFB	テン・そえる・そう
MJ015542	U+6E1D	ユ・かわる
MJ015546	U+6E20	キョ・ゴ・かれ・なんぞ・みぞ・いずくんぞ
MJ015550	U+6E23	サ・シャ
MJ015555	U+6E27	テイ・テキ・ダイ・チャク・しずく・こす・なく
MJ015563	U+6E2E	カ
MJ015564	U+6E2F	コウ・グ・ゴウ・みなと
MJ015566	U+6E2F	コウ・みなと
MJ015571	U+6E33	ビ・ミ・ビン・ミン・ベン・メン
MJ015576	U+6E36	エイ・ヨウ
MJ015606	U+6E52	シュウ
MJ015616	U+6E5B	タン・チン・ダン・ジン・セン・テン・シン・イン・しずむ・たたえる
MJ015631	U+6E67	ユウ・ヨウ・わく
MJ015638	U+6E6E	イン・エン・エイ・エツ・エチ・しずむ・ふさぐ
MJ015640	U+6E6E	イン・しずむ・ふさぐ
MJ015647	U+6E72	カン
MJ015650	U+6E74	ハン・ヘン・バン・どろ
MJ015658	U+6E7C	ネツ・ネ・デツ・ネチ
MJ015661	U+6E7E	ワン
MJ015664	U+6E80	バン・ボン・マン・モン・みたす・みちる
MJ015671	U+6E8F	トウ
MJ015676	U+6E93	レン・デン・ネン・カン・ガン
MJ015686	U+6E9D	コウ・みぞ
MJ015693	U+6EA2	イツ・シツ・イチ・シチ・ジチ・シ・ジ・あふれる・みちる
MJ015694	U+6EA2	イツ・あふれる
MJ015698	U+6EA5	フ・ホ・ハク・あまねし
MJ015704	U+6EAA	ケイ・たに
MJ015712	U+6EB2	ソウ・シュウ・シュ・ひたす・ゆばり
MJ015714	U+6EB2	ソウ・ひたす
MJ015715	U+6EB2	ソウ・シュウ・シュ・ひたす・ゆばり
MJ015724	U+6EBA	デキ・ニョウ・ジャク・ジョウ・ダク・ニョク・ニャク・おぼれる
MJ015730	U+6EBF	そい
MJ015739	U+6EC7	シン・テン
MJ015744	U+6ECB	ジ・シ
MJ015745	U+6ECB	ジ・シ・しげる
MJ015746	U+6ECB	ジ・シ・しげる
MJ015756	U+6ED4	トウ・はびこる
MJ015757	U+6ED5	トウ・ドウ・わく・あがる・あげる
MJ015759	U+6ED5	トウ・わく
MJ015766	U+6EDB	イン
MJ015774	U+6EEC	コ・ゴ
MJ015780	U+6EF0	キョウ・ゴウ・ケイ・ギョウ
MJ015784	U+6EF4	テキ・しずく・したたる
MJ015795	U+6EFE	コン・たぎる
MJ015797	U+6EFF	マン・みちる
MJ015799	U+6F01	ギョ・リョウ
MJ015816	U+6F11	ガイ・カイ・キ・ケ・そそぐ
MJ015817	U+6F11	ガイ・カイ・キ・ケ・そそぐ
MJ015819	U+6F11	ガイ・カイ・キ・ケ・そそぐ
MJ015820	U+6F11	ガイ・そそぐ
MJ015821	U+6F11	ガイ・そそぐ
MJ015822	U+6F11	ガイ・そそぐ
MJ015832	U+6F1A	ウ・オウ・オ・かもめ・ひたす・あわ
MJ015839	U+6F20	バク・マク・ミャク
MJ015842	U+6F22	カン・タン
MJ015844	U+6F23	レン・ラン・さざなみ
MJ015850	U+6F28	ホウ・ボ
MJ015854	U+6F2B	マン・バン・そぞろに
MJ015858	U+6F2D	ボウ・モウ
MJ015865	U+6F33	ショウ・ソウ
MJ015874	U+6F3B	リョウ・リュウ・レキ
MJ015875	U+6F3B	リュウ・リョウ・ル・レキ
MJ015880	U+6F3E	ヨウ・ただよう
MJ015896	U+6F54	ケツ・ケチ・いさぎよい
MJ015898	U+6F54	ケツ・ケチ・いさぎよい
MJ015899	U+6F54	ケツ・いさぎよい
MJ015908	U+6F5B	ゼン・セン・ひそむ
MJ015909	U+6F5B	ゼン・セン・ひそむ
MJ015910	U+6F5B	ゼン・セン・ひそむ
MJ015911	U+6F5B	ゼン・セン・ひそむ
MJ015923	U+6F64	ジュン・ニン・うるおう・うるむ・うるおす・めぐみ・つや
MJ015934	U+6F6D	タン・ドン・ニン・シン・ジン・イン・ふかい・ふち
MJ015936	U+6F6E	チョウ・ジョウ・しお
MJ015939	U+6F6F	ジン・ふち
MJ015945	U+6F74	チョ
MJ015950	U+6F78	サン
MJ015955	U+6F7C	ドウ・トウ・ズ・ツ・シュ・ショウ
MJ015957	U+6F7E	リン・ラン・レン・きよい
MJ015959	U+6F7E	リン・きよい
MJ015961	U+6F7F	イ
MJ015963	U+6F80	ジュウ・しぶい
MJ015964	U+6F80	シュウ・ジュウ
MJ015967	U+6F82	チョウ・すます・すみ・すむ
MJ015968	U+6F82	チョウ・ジョウ・すます・すみ・すむ
MJ015991	U+6F98	サン
MJ015994	U+6F9A	
MJ015998	U+6FA0	ジョウ・ベン・ショウ・ビン・ミン
MJ016003	U+6FA4	ジャク・セキ・シャク・ダク・エキ・ヤク・タク・さわ
MJ016004	U+6FA4	ジャク・セキ・シャク・ダク・エキ・ヤク・タク・さわ
MJ016012	U+6FAB	マン・ボン・モン・みちる・みたす
MJ016013	U+6FAB	マン・バン
MJ016014	U+6FAB	マン
MJ016019	U+6FAF	サン
MJ016024	U+6FB3	オウ・おき・くま
MJ016029	U+6FB7	マン
MJ016036	U+6FBE	タツ・タチ・なめらか・すべる
MJ016042	U+6FC2	レン
MJ016044	U+6FC4	カ・ワ・うずまく
MJ016048	U+6FC6	フン・ブン・ホン・わく・ほとり
MJ016051	U+6FC8	シュウ・ソウ・ゾウ
MJ016065	U+6FD8	ネイ・ぬかる
MJ016069	U+6FDB	モウ・ボウ・モ・こさめ
MJ016070	U+6FDB	モウ・こさめ
MJ016076	U+6FE0	ゴウ・ほり
MJ016085	U+6FE8	シ・ジ
MJ016088	U+6FE9	カク・コ・ゴ・ワク
MJ016097	U+6FEF	タク・ジョク・シャク・トウ・ジョウ・サク・ザク・あらう
MJ016099	U+6FEF	タク
MJ016102	U+6FF1	ヒン・はま
MJ016103	U+6FF1	ヒン・はま
MJ016109	U+6FF9	ボク
MJ016120	U+7001	ヨウ
MJ016128	U+7007	オウ・コウ
MJ016135	U+700E	バツ・マチ・ベツ・メチ
MJ016138	U+7010	セン・バク
MJ016144	U+7015	ヒン・ほとり
MJ016151	U+701A	カン・ひろい
MJ016153	U+701B	エイ・うみ
MJ016154	U+701B	エイ・ヨウ・うみ
MJ016155	U+701B	エイ
MJ016156	U+701B	エイ・ヨウ・うみ
MJ016159	U+701E	セイ・とろ
MJ016161	U+701E	セイ・ジョウ・とろ
MJ016162	U+701E	とろ・どろ
MJ016163	U+701E	とろ
MJ016165	U+701F	ショウ
MJ016168	U+7021	スイ・なめらか
MJ016170	U+7022	イ・タイ・デ
MJ016176	U+7026	チョ・ト・ツ
MJ016178	U+7027	ロウ・ル・リュウ・リョウ・ソウ・たき
MJ016179	U+7027	ロウ・たき
MJ016180	U+7027	ソウ・リョウ・ル・ロウ・たき
MJ016181	U+7027	ロウ・たき
MJ016182	U+7027	ロウ・たき
MJ016208	U+703E	ラン・なみ
MJ016211	U+7041	エン
MJ016216	U+7044	ショウ・ジョウ・ニョウ・ジュウ・ニュウ
MJ016220	U+7047	ソウ
MJ016224	U+704A	シン・セン・ゼン
MJ016227	U+704C	カン・そそぐ
MJ016237	U+7058	ダン・タン・カン・ナン・なだ・せ
MJ016257	U+7068	カン
MJ016263	U+706E	コウ
MJ016264	U+706E	コウ
MJ016266	U+7070	カイ・ケ・はい
MJ016276	U+7077	セン
MJ016277	U+7078	キュウ・ク・やいと
MJ016283	U+707C	シャク・やく
MJ016285	U+707D	サイ・わざわい
MJ016287	U+7081	キ
MJ016296	U+7089	ロ
MJ016332	U+70AC	キョ・コ・ゴ
MJ016334	U+70AD	タン・すみ
MJ016336	U+70AE	ホウ・ビョウ・ヒョウ・あぶる
MJ016342	U+70B3	ヘイ・ホウ・ハウ・ヒョウ・あきらか
MJ016347	U+70B7	シュ・たく
MJ016386	U+70E4	コウ
MJ016414	U+7108	キ
MJ016446	U+712B	ゼツ・ネチ
MJ016466	U+7141	シン・ジン
MJ016474	U+7149	レン・ラン・ねる
MJ016481	U+714E	セン・いる・にる
MJ016486	U+7152	イ・キ・ひかり・ひかる・あきらか・かがやく
MJ016488	U+7152	イ・ひかり・ひかる
MJ016493	U+7156	ダン・あたたか・あたためる
MJ016496	U+7159	エン・イン・けむる・けむり・けむい
MJ016506	U+7162	ケイ・ギョウ
MJ016508	U+7162	ケイ
MJ016528	U+717A	タイ
MJ016532	U+717D	セン・あおり・あおる・おだてる・おこる
MJ016534	U+717D	セン・あおり・あおる・おだてる
MJ016546	U+7188	キ
MJ016562	U+7194	ヨウ・とける
MJ016576	U+71A2	ホウ・のろし
MJ016580	U+71A5	トウ・ツ・あたためる
MJ016596	U+71B3	マン・そぞろに・ひろい・みだり・みだりに
MJ016606	U+71BE	シ・さかん・おき
MJ016608	U+71BF	オウ・コウ・かがやく
MJ016610	U+71C1	ヨウ・ユウ・オウ・かがやく・さかん
MJ016612	U+71C1	ヨウ・かがやく・さかん
MJ016613	U+71C1	ヨウ・かがやく・さかん
MJ016616	U+71C2	セン・ゼン・シン・ジン・タン・あたためる
MJ016630	U+71D0	リン・おにび
MJ016632	U+71D0	リン
MJ016647	U+71E0	イク・ウ・あたたかい
MJ016654	U+71E7	スイ・ズイ・のろし・ひうち
MJ016656	U+71E7	スイ・のろし・ひうち
MJ016657	U+71E7	スイ・のろし・ひうち
MJ016664	U+71EE	ショウ・やわらげる
MJ016672	U+71F5	タツ
MJ016678	U+71FB	クン・くすべる
MJ016682	U+71FF	ヨウ・ソウ・ショウ・シャク・ヤク・かがやく
MJ016692	U+7207	ネツ・ゼツ・ネイ・ゼイ・ネチ・やく
MJ016695	U+7209	ラフ・ロウ・リョウ
MJ016709	U+7217	ヨウ・ユウ・オウ・かがやく
MJ016713	U+721B	ラン・ただれる
MJ016717	U+721F	カン・ケン・ゲン・やく・あつい・たいまつ
MJ016724	U+7224	ラン・ただれる
MJ016729	U+7228	サン・かしぐ・かまど
MJ016730	U+7228	サン・かしぐ・かまど
MJ016731	U+7228	サン・かしぐ・かまど
MJ016741	U+7230	エン・ここに・ここ
MJ016744	U+7232	イ・なす
MJ016748	U+7235	シャク・サク・さかずき
MJ016750	U+7236	フ・ちち
MJ016752	U+7238	ハ・バ・ヘ・ちち
MJ016754	U+7239	タ・ダ・チャ・テ・ちち
MJ016756	U+723A	ヤ・じじ
MJ016758	U+723B	コウ・まじわる・めめ
MJ016763	U+723E	ジ・ニ・しかり・なんじ・のみ・その
MJ016767	U+7240	ショウ・ソウ・ゆか・だい・ねだい・こしかけ・とこ
MJ016774	U+7246	ショウ・ヘイ・かきね・かき・かこい
MJ016776	U+7247	ヘン・かた
MJ016777	U+7247	ヘン・かた
MJ016783	U+724C	ハイ・バイ・ふだ
MJ016787	U+7250	ソウ
MJ016792	U+7253	ボウ・ホウ・ふだ
MJ016795	U+7255	ソウ・まど
MJ016802	U+7259	ガ・ゲ・きば・きばへん・は
MJ016803	U+7259	ガ・ゲ・きば・きばへん・は
MJ016804	U+725A	トウ・チョウ
MJ016837	U+727D	ケン・ひく
MJ016842	U+7280	サイ
MJ016886	U+72AE	ユウ・とも
MJ016890	U+72AF	ハン・ボン・おかす
MJ016894	U+72B3	シャク・ヒョウ・ヨウ
MJ016917	U+72CA	ケキ・キャク
MJ016923	U+72D0	コ・ゴ・きつね
MJ016924	U+72D0	コ・ゴ・きつね
MJ016941	U+72E1	コウ・ずるい・わるがしこい
MJ016996	U+731C	サイ・うたがう・そねむ
MJ017010	U+732B	ビョウ・ねこ
MJ017016	U+7330	アツ・エチ・カツ・ケチ・ケツ
MJ017022	U+7336	ユウ・ユ・ヨウ・キュウ・なお
MJ017024	U+7336	ユウ・ユ・ヨウ・キュウ・なお
MJ017025	U+7336	ユウ
MJ017027	U+7337	ユウ・ユ・はかる・はかりごと
MJ017050	U+734D	ケイ・キョウ
MJ017053	U+734F	ボ・モ・バク
MJ017055	U+7350	ショウ・ソウ・のろ
MJ017058	U+7352	ゴウ・いぬ
MJ017070	U+735E	トウ・ズ
MJ017075	U+7363	ジュウ・シュウ・シュ・けもの・けだもの
MJ017079	U+7366	カツ・カチ・リョウ・かり
MJ017089	U+7370	ドウ・わるい
MJ017092	U+7372	カク・ワク・コ・ゴ・ゲ・カ・える
MJ017101	U+737A	ダツ・タツ・かわうそ・おそ
MJ017109	U+7381	ケン
MJ017115	U+7387	ソツ・リツ・シュツ・シュチ・スイ・ルイ・リチ・セツ・ひきいる
MJ017121	U+7389	ギョク・ゴク・たま
MJ017129	U+7393	テキ・チャク・ひかる
MJ017140	U+739F	ビン・ミン・モン・バイ・メ・ブン
MJ017144	U+73A3	ヘン・ベン
MJ017171	U+73BA	ジ・しるし
MJ017188	U+73CA	サン・サツ・サチ・サンチ・さんち
MJ017189	U+73CA	サン・サンチ・さんち
MJ017194	U+73CE	チン・めずらしい
MJ017218	U+73E5	ジ・みみだま
MJ017228	U+73ED	ハン
MJ017236	U+73F5	ジョウ・チョウ・テイ
MJ017241	U+73F9	セイ・ジョウ
MJ017247	U+73FD	テイ・チョウ
MJ017261	U+740A	ヤ
MJ017283	U+7422	タク・みがく
MJ017304	U+7432	ハイ
MJ017307	U+7434	キン・こと
MJ017308	U+7434	キン・ゴン・こと
MJ017322	U+7441	マイ
MJ017328	U+7447	タイ・トク・ドク
MJ017333	U+744B	イ
MJ017335	U+744B	イ
MJ017342	U+7451	テン・チン・チ
MJ017353	U+745B	エイ・ヨウ
MJ017355	U+745C	ユ
MJ017360	U+745F	シツ・おおごと
MJ017363	U+7462	ヨウ・ユ
MJ017366	U+7463	サ・ちいさい
MJ017376	U+746C	リュウ
MJ017380	U+746E	リチ・リツ
MJ017382	U+746F	ロウ
MJ017385	U+7471	テン
MJ017401	U+747E	キン・コン・ギン
MJ017405	U+7481	ソウ
MJ017409	U+7483	リ
MJ017412	U+7485	サ
MJ017415	U+7488	ゴウ
MJ017416	U+7489	レン
MJ017419	U+748A	バン・ボン・マン・モン・あかい
MJ017421	U+748B	ショウ・ソウ・たま
MJ017432	U+7498	リン
MJ017444	U+74A1	シン
MJ017447	U+74A3	キ・ケ・ギ・たま
MJ017448	U+74A3	キ・たま
MJ017450	U+74A5	ケイ・キョウ
MJ017451	U+74A6	アイ
MJ017456	U+74A9	キョ
MJ017464	U+74B0	カン・ゲン・たまき
MJ017467	U+74B2	スイ・ズイ
MJ017496	U+74CA	ケイ・セン・ギョウ・ゼン・たま
MJ017497	U+74CA	ケイ・ギョウ・セン・ゼン・たま・に・さいころ
MJ017498	U+74CB	テキ
MJ017500	U+74CB	テキ
MJ017505	U+74CF	ロウ・リョウ・リュ・ル
MJ017514	U+74D8	カン
MJ017517	U+74DA	サン
MJ017519	U+74DC	カ・ケ・うり
MJ017520	U+74DC	カ・ケ・うり
MJ017523	U+74DE	テツ・デチ
MJ017525	U+74DF	ハク・ホウ・バク・ビョウ
MJ017526	U+74DF	ハク・ホウ・バク・ビョウ
MJ017528	U+74E0	コ・カク・ゴ・ワク・ひさご・ふくべ
MJ017530	U+74E0	コ・ひさご
MJ017532	U+74E2	ヒョウ・ひさご・ふくべ
MJ017534	U+74E3	ベン・ヘン・ハン・さね・はなびら
MJ017535	U+74E3	ベン・ヘン・ハン・さね・はなびら
MJ017537	U+74E4	ジョウ・ニョウ・ノウ・ドウ
MJ017549	U+74EE	もたい
MJ017550	U+74EF	オウ
MJ017553	U+74F0	デシグラム
MJ017558	U+74F4	レイ・かめ・かわら
MJ017573	U+7501	ビン
MJ017576	U+7504	ケン・シン・セン・ケイ・カイ・すえ
MJ017578	U+7504	ケン
MJ017579	U+7504	ケン
MJ017582	U+7506	シ・かめ
MJ017583	U+7506	シ
MJ017590	U+750C	オウ・ウ・オ・ほとぎ
MJ017592	U+750D	ボウ・ミョウ・ベイ・モウ・いらか
MJ017593	U+750D	ボウ・いらか
MJ017594	U+750D	ボウ・いらか
MJ017596	U+750E	セン・ゼン・かわら・しきがわら
MJ017600	U+7511	ソウ・ショウ・ジョウ・こしき
MJ017601	U+7511	ソウ・ショウ・ジョウ・こしき
MJ017602	U+7511	ソウ・こしき
MJ017607	U+7515	オウ・かめ・みか
MJ017608	U+7515	オウ・かめ・みか
MJ017626	U+7526	ソ・よみがえる
MJ017628	U+7527	
MJ017646	U+753B	カク・えがく
MJ017652	U+753E	サイ・シ
MJ017658	U+7543	シュン・いいつけ
MJ017662	U+7547	キン・ケン・イン・シュシ・シュン・ジュン
MJ017675	U+7554	ハン・バン・ほとり
MJ017682	U+7559	リュウ・ル・とめる・とどめる
MJ017692	U+7561	ガイ
MJ017707	U+7570	イ・こと・ことなる
MJ017727	U+7583	タン・トン・トウ・ツ
MJ017747	U+24D38	ギツ・ゴチ・キ・ケ
MJ017766	U+75B1	ホウ・もがさ
MJ017778	U+75BC	トウ・ズ・ドウ・いたむ・うずく
MJ017791	U+75CA	セン
MJ017796	U+75CE	カイ・ガイ・おこり
MJ017799	U+75D0	くせ
MJ017811	U+75DC	トク・かさ
MJ017840	U+75FB	コン・ビン・ミン
MJ017845	U+7600	オ・ヨ・やまい
MJ017850	U+7603	チョク・トク・ト・しもやけ
MJ017853	U+7608	ケイ・セイ・ゲイ・くるう
MJ017856	U+7609	ヨ・ユ・いえる
MJ017870	U+7616	イン・オン
MJ017875	U+761B	セイ・セツ・ケイ・ガイ・セチ
MJ017879	U+761F	オン・オツ・オチ・ウン
MJ017884	U+7622	ハン・バン・きず・きずあと
MJ017888	U+7626	ソウ・シュウ・シュ・やせる
MJ017891	U+7627	ギャク・おこり
MJ017894	U+7629	トウ
MJ017904	U+7634	ショウ・ソウ
MJ017913	U+763C	バク・マク
MJ017916	U+7641	フク・ボク
MJ017924	U+7647	カン・ひきつけ
MJ017933	U+7650	イ・カイ・ケ
MJ017936	U+7652	ユ・いえる
MJ017937	U+7652	ユ・いえる
MJ017944	U+7658	レイ・ライ・えやみ
MJ017953	U+7662	ショウ・ゾウ・ヨウ・かく・かさ・かゆい
MJ017954	U+7662	ヨウ・かゆい
MJ017957	U+7665	チョウ
MJ017962	U+7669	ライ
MJ017970	U+7671	タン
MJ017972	U+7672	テン
MJ017973	U+7672	テン・くるう
MJ017974	U+7672	テン
MJ017990	U+7682	ソウ・くろ
MJ017991	U+7680	ソウ・ヒュウ・ホウ・ヒキ・キュウ・キョウ・くろ
MJ017994	U+7684	テキ・まと
MJ018006	U+768D	ソク・つく・すなわち・もし
MJ018008	U+768E	キョウ・コウ・きよい・しろい
MJ018012	U+7693	コウ・ゴウ・ケ・カイ・しろい
MJ018027	U+769E	コウ・あきらか
MJ018033	U+76A3	ヨウ
MJ018038	U+76A7	アイ
MJ018049	U+76B0	ホウ・にきび
MJ018052	U+76B4	シュン・しわ・ひび
MJ018056	U+76B6	サ
MJ018058	U+76B7	コ・つづみ
MJ018073	U+76C6	ボン・ホン・はち
MJ018086	U+76D4	カイ・ケ・かぶと
MJ018094	U+76DB	セイ・ジョウ・もる・さかる・さかん
MJ018099	U+76DF	メイ・ちかう
MJ018104	U+76E3	カン
MJ018120	U+76F2	モウ・ボウ・ミョウ・めくら
MJ018124	U+76F4	チョク・ジキ・ただちに・なおす・なおる
MJ018133	U+76FB	ケイ・にらむ
MJ018143	U+7704	ベン・メン
MJ018160	U+7714	トウ
MJ018171	U+771E	シン・まこと
MJ018172	U+771E	シン・まこと
MJ018174	U+771F	シン・ま
MJ018175	U+771F	シン・ま・まこと・まことに
MJ018190	U+772B	ハン・ベイ
MJ018202	U+7737	ケン・かえりみる
MJ018212	U+7740	チャク・ジャク・きる・きせる・つく・つける
MJ018223	U+774A	エン
MJ018241	U+775B	セイ・ショウ・ひとみ
MJ018259	U+776D	チュウ・チュ
MJ018264	U+7770	バツ・マチ
MJ018274	U+7779	ト・みる
MJ018286	U+7784	ビョウ
MJ018294	U+778B	シン・いからす・いかる
MJ018298	U+778E	カツ・ケチ・かため
MJ018299	U+778E	カツ・かため
MJ018305	U+7795	ショウ・ソウ
MJ018319	U+77A2	ベツ・ボウ・ミョウ・ム・メチ・モウ・モ・くらい・はじる
MJ018322	U+77A5	ベツ・ハイ・ヘイ・ヘツ・ヘチ・ヘ
MJ018330	U+77AC	シュン・またたく
MJ018332	U+77AC	シュン・またたく
MJ018338	U+77B1	ヨウ
MJ018341	U+77B3	ドウ・ひとみ
MJ018343	U+77B5	リン・レン
MJ018363	U+77C7	モウ・ボウ・モ・くらい・めしい
MJ018364	U+77C7	モウ・くらい・めしい
MJ018368	U+77CC	コウ・あきらか・むなしい
MJ018375	U+77D2	ボウ
MJ018383	U+77D7	チク・シュク・チュウ・チュ・なおい
MJ018402	U+77E9	ク・かねざし・のり・かね
MJ018410	U+77F1	ワク
MJ018432	U+7809	ケキ・キャク・カク
MJ018441	U+7811	ゲ・ガ
MJ018470	U+7832	ホウ・ホク・ハク・バク・ヒョウ・おおづつ
MJ018494	U+784E	ケイ・コウ・ギョウ
MJ018496	U+784F	ケン・とぐ
MJ018502	U+785D	ショウ
MJ018518	U+786B	リュウ
MJ018521	U+786C	コウ・かたい
MJ018524	U+786E	カク・たしか
MJ018530	U+7874	かき
MJ018534	U+787A	タク・チョク・うつ
MJ018535	U+787B	コウ・キョウ
MJ018537	U+787C	ホウ・ヒョウ
MJ018556	U+788C	ロク・ラク・リョク
MJ018578	U+78A3	ケツ・ゲチ・ゲイ・カチ・エチ・いしぶみ
MJ018580	U+78A4	エイ・ヨウ
MJ018592	U+78B0	はえ
MJ018599	U+78BA	カク・たしかめる
MJ018608	U+78C1	ジ
MJ018615	U+78C5	ホウ・ヒョウ・ポンド
MJ018623	U+78CC	テン
MJ018625	U+78CD	カツ・ゲチ・アツ・エチ
MJ018632	U+78D3	タイ・ツイ・おとす
MJ018634	U+78D4	タク・チャク・さく・はりつけ
MJ018636	U+78D4	タク・さく・はりつけ
MJ018637	U+78D4	タク・さく・はりつけ
MJ018654	U+78E8	マ・バ・みがく
MJ018662	U+78EF	キ・いそ
MJ018663	U+78EF	キ・いそ
MJ018671	U+78F7	リン・リョウ・ロウ・うすい・うすらぐ・きらら
MJ018674	U+78F9	テン・デン・タン・ドン
MJ018686	U+7907	イク
MJ018705	U+791A	カイ
MJ018710	U+791E	ボウ・モ
MJ018713	U+7920	ジ
MJ018718	U+7926	コウ・あらがね
MJ018724	U+792A	レイ・あらと・と・みがく
MJ018729	U+792E	ホウ
MJ018733	U+7931	ロウ・ル・といし・とぐ・する
MJ018735	U+7932	ロウ
MJ018738	U+7934	ハク・バク
MJ018739	U+7934	ハク・バク
MJ018740	U+7934	ハク・バク
MJ018743	U+7936	カン
MJ018751	U+793D	ジョウ・ニョウ・さいわい
MJ018754	U+793F	ヤク・まつり
MJ018758	U+7940	シ・ジ・まつり・まつる・とし
MJ018760	U+7940	シ・ジ・まつり・まつる・とし
MJ018761	U+7940	シ・まつり・まつる
MJ018762	U+7941	ケ・キ・ギ・シ・チ・ジ
MJ018766	U+7945	ヨウ・わざわい
MJ018768	U+7946	ケン・テン
MJ018770	U+7947	ギ・キ・シ・ジ・くにつかみ・ただ・まさに
MJ018774	U+794A	ヒョウ・ホウ
MJ018776	U+794B	タイ・タツ・テ・ほこ
MJ018778	U+794C	チュウ・ジュ
MJ018780	U+794F	セキ・ジャク・いしびつ・いしむろ
MJ018785	U+7953	はらい
MJ018786	U+7953	フツ・ハイ・はらい・はらう
MJ018788	U+9FC6	ユウ・はらい・はらう
MJ018790	U+7954	フ・ブ
MJ018793	U+7955	ヒ・ヒツ・ヒチ・ひめる
MJ018795	U+7957	シ・つつしむ
MJ018797	U+7958	サン・かぞえる
MJ018799	U+7958	サン
MJ018800	U+7958	サン
MJ018802	U+7959	ビ・ミ
MJ018803	U+795A	ソ・さいわい
MJ018806	U+795B	キョ・コ・おう・さる・ちらす・はらう・やる
MJ018808	U+795C	コ・ゴ・さいわい
